index,父微博用户ID,count,total,percent,followers,root,CphsI
1.0,c7af761e0f90995b5a9a0827276f0512,2960,7914,37.402072276977506,2079,c7af761e0f90995b5a9a0827276f0512,273.62079149438864
2.0,c360f812947e14510ff253242e51afae,379,7914,4.788981551680567,4779,c7af761e0f90995b5a9a0827276f0512,35.03455404607206
3.0,68db5c4507b37034a90d34563e20225f,242,7914,3.057872125347485,2953,c7af761e0f90995b5a9a0827276f0512,22.37034849379799
4.0,2ac16bf2dbae9635afac69cd1f217340,220,7914,2.7798837503158964,3636,c7af761e0f90995b5a9a0827276f0512,20.336680448907266
5.0,e44f5031859d309f3353d2874ffa7192,171,7914,2.1607278241091734,2193,c7af761e0f90995b5a9a0827276f0512,15.807147076196102
6.0,a554ae33e37578d387b1411277333e05,156,7914,1.9711902956785443,1744,c7af761e0f90995b5a9a0827276f0512,14.42055522740697
7.0,ddacffd27d6eecd0ac02961a72c89af4,148,7914,1.870103613848876,2382,c7af761e0f90995b5a9a0827276f0512,13.681039574719433
8.0,01b874689f63fbbf1a437efa9a1a31cb,142,7914,1.7942886024766238,3873,c7af761e0f90995b5a9a0827276f0512,13.12640283520378
9.0,0718603c176da086c69dc07966d46180,138,7914,1.7437452615617892,2531,c7af761e0f90995b5a9a0827276f0512,12.756645008860012
10.0,ef0c4a6456df38caa08d4a1df614faf6,131,7914,1.6552944149608289,3355,c7af761e0f90995b5a9a0827276f0512,12.109568812758416
11.0,18a4708426d8bac6532d5f9c04c14eed,121,7914,1.5289360626737427,392,c7af761e0f90995b5a9a0827276f0512,11.185174246898995
12.0,ef4d7d39f7b3997e79f1179d6fb4074f,114,7914,1.4404852160727823,898,c7af761e0f90995b5a9a0827276f0512,10.538098050797402
13.0,13dfba43de47dbcd2a07e01950c1e00d,83,7914,1.0487743239828151,3652,c7af761e0f90995b5a9a0827276f0512,7.6724748966331955
14.0,d1d370e2928a4d49a91edf4ced6db431,81,7914,1.023502653525398,1907,c7af761e0f90995b5a9a0827276f0512,7.487595983461311
15.0,19bdef4efe43dbbcb3e60500748411eb,68,7914,0.8592367955521859,1298,c7af761e0f90995b5a9a0827276f0512,6.285883047844064
16.0,030e7716671a76d35daef80682dc8766,61,7914,0.7707859489512257,1155,c7af761e0f90995b5a9a0827276f0512,5.638806851742469
17.0,5f3c189c72bf5a9feaadfb3421054659,60,7914,0.7581501137225171,15,c7af761e0f90995b5a9a0827276f0512,5.546367395156527
18.0,a1518fbc4d82b37dcf7d2a603d567ad5,50,7914,0.6317917614354309,905,c7af761e0f90995b5a9a0827276f0512,4.621972829297106
19.0,d9f5bbb77995664d6afee258e73e5da8,43,7914,0.5433409148344706,1298,c7af761e0f90995b5a9a0827276f0512,3.974896633195511
20.0,cca0c77c6e8d5b3f373b5ad974f3e4f9,42,7914,0.530705079605762,345,c7af761e0f90995b5a9a0827276f0512,3.882457176609569
21.0,28f7dce3fbe473c4e8bfcf51dda3cc3a,38,7914,0.4801617386909275,89,c7af761e0f90995b5a9a0827276f0512,3.5126993502658004
22.0,95f27391d531f5c81412213294304065,35,7914,0.4422542330048016,1364,c7af761e0f90995b5a9a0827276f0512,3.235380980507974
23.0,3946b2e1829cee6dc19464d3b2064df4,33,7914,0.4169825625473844,983,c7af761e0f90995b5a9a0827276f0512,3.05050206733609
24.0,d7d125f9605eb875d04cb2940202b7c7,33,7914,0.4169825625473844,407,c7af761e0f90995b5a9a0827276f0512,3.05050206733609
25.0,fc90977dc07f74598122c786c439bbff,29,7914,0.3664392216325499,695,c7af761e0f90995b5a9a0827276f0512,2.6807442409923214
26.0,e885a188ab7609c93d98142758e58c47,29,7914,0.3664392216325499,83,c7af761e0f90995b5a9a0827276f0512,2.6807442409923214
27.0,91c0757c84405b71a49354f2193b53e0,25,7914,0.31589588071771546,92,c7af761e0f90995b5a9a0827276f0512,2.310986414648553
28.0,e7c5d11e0479dc188256163a35368d48,25,7914,0.31589588071771546,400,c7af761e0f90995b5a9a0827276f0512,2.310986414648553
29.0,694a10534bd055365d87958e132de9dc,25,7914,0.31589588071771546,547,c7af761e0f90995b5a9a0827276f0512,2.310986414648553
30.0,949507815d06969877dd4520c2e37cf8,22,7914,0.2779883750315896,20,c7af761e0f90995b5a9a0827276f0512,2.0336680448907267
31.0,e8aa10ba877f946387545af371d5d28d,18,7914,0.2274450341167551,306,c7af761e0f90995b5a9a0827276f0512,1.663910218546958
32.0,91072ce8d5415c31e243b8d6061232e0,18,7914,0.2274450341167551,103,c7af761e0f90995b5a9a0827276f0512,1.663910218546958
33.0,4f8e488a605c79fb1759edb353c27c8a,17,7914,0.2148091988880465,500,c7af761e0f90995b5a9a0827276f0512,1.571470761961016
34.0,eb3aad38db0c25328d79d18488b4e5b6,13,7914,0.16426585797321205,5,c7af761e0f90995b5a9a0827276f0512,1.2017129356172476
35.0,b19389e45e41f0f6f9fcfe00b8e2fb1e,12,7914,0.1516300227445034,32,c7af761e0f90995b5a9a0827276f0512,1.1092734790313055
36.0,c88c1402e0556506de668354ff365f58,11,7914,0.1389941875157948,408,c7af761e0f90995b5a9a0827276f0512,1.0168340224453634
37.0,b7630dee31ceaa5098b55a4c4d126cb9,11,7914,0.1389941875157948,497,c7af761e0f90995b5a9a0827276f0512,1.0168340224453634
1.0,768c8145171a276365164af3bd2b94c3,1410,1709,82.50438853130484,5010,768c8145171a276365164af3bd2b94c3,65.76014536644458
2.0,f6c259579d9876137b7b68cc9aaf9300,81,1709,4.7396138092451725,845,768c8145171a276365164af3bd2b94c3,3.77771047849788
3.0,241c189090dfcfcca8569b3c450166c7,28,1709,1.6383850204798127,494,768c8145171a276365164af3bd2b94c3,1.3058752271350695
1.0,60c751318f4cf2adf7c870a1cf2ce0e8,577,1628,35.442260442260434,2052,60c751318f4cf2adf7c870a1cf2ce0e8,63.61587078651686
2.0,0718603c176da086c69dc07966d46180,226,1628,13.882063882063882,2531,60c751318f4cf2adf7c870a1cf2ce0e8,24.917134831460675
3.0,bd3daa1b89b3c1e12d460b19bf2a9e10,102,1628,6.2653562653562656,1657,60c751318f4cf2adf7c870a1cf2ce0e8,11.245786516853933
4.0,d462d66b8042ad8af59c9b1ab7cffa1a,81,1628,4.975429975429975,1079,60c751318f4cf2adf7c870a1cf2ce0e8,8.930477528089888
5.0,4598896a47797f8bcb161aa4b3c9065f,68,1628,4.176904176904176,184,60c751318f4cf2adf7c870a1cf2ce0e8,7.497191011235955
6.0,ecd350325dde0a7dd19804fb422d01d2,26,1628,1.597051597051597,525,60c751318f4cf2adf7c870a1cf2ce0e8,2.866573033707865
7.0,421341f58cb2a4134854626f236a2179,25,1628,1.5356265356265355,243,60c751318f4cf2adf7c870a1cf2ce0e8,2.756320224719101
8.0,260dbe5a11f2b0736ada34eff2f830b6,20,1628,1.2285012285012284,107,60c751318f4cf2adf7c870a1cf2ce0e8,2.205056179775281
9.0,bf3618aa94a7c1191cc28ef4ba74a7c5,17,1628,1.0442260442260445,157,60c751318f4cf2adf7c870a1cf2ce0e8,1.8742977528089888
10.0,5e3209e7cd9f4f0b7ff9d51c3ee87069,17,1628,1.0442260442260445,98,60c751318f4cf2adf7c870a1cf2ce0e8,1.8742977528089888
11.0,8fc12b0c1e5eca4314b5fe682ccb7089,15,1628,0.9213759213759214,88,60c751318f4cf2adf7c870a1cf2ce0e8,1.6537921348314608
12.0,ce96254fb848d66f2032b408f8bbf9ad,14,1628,0.85995085995086,73,60c751318f4cf2adf7c870a1cf2ce0e8,1.5435393258426966
13.0,58056dc90f0ec3e66571a2829b5d6a1e,10,1628,0.6142506142506142,61,60c751318f4cf2adf7c870a1cf2ce0e8,1.1025280898876404
1.0,318fc95107fd4ff003a3167940091152,4121,5648,72.96388101983003,29574,318fc95107fd4ff003a3167940091152,168.6034703196347
2.0,1c2facd59cff30780a9061551a37737e,529,5648,9.36614730878187,9592,318fc95107fd4ff003a3167940091152,21.64310502283105
3.0,cc6f1f8154906f716b10c87135e7d3a8,150,5648,2.655807365439093,7993,318fc95107fd4ff003a3167940091152,6.136986301369864
4.0,7bf66fad923faccb45ed31c00eeb2e70,77,5648,1.363314447592068,1694,318fc95107fd4ff003a3167940091152,3.1503196347031963
5.0,d570d7cf1bca056e3d202b615c4dc4f6,77,5648,1.363314447592068,2331,318fc95107fd4ff003a3167940091152,3.1503196347031963
6.0,d02fe5ae9d34938a89bf00eb4b457152,45,5648,0.796742209631728,1197,318fc95107fd4ff003a3167940091152,1.841095890410959
7.0,8399687ce4901b4a49a55505236b82dd,32,5648,0.56657223796034,14,318fc95107fd4ff003a3167940091152,1.3092237442922374
1.0,c7d207133d5343995b0e98e22a6edc7d,4190,4562,91.8456817185445,9525,c7d207133d5343995b0e98e22a6edc7d,105.2669358456707
