父微博用户ID,count,total,percent,followers,root,TimeDIST,NetDIST
e1316d1dc863d17e90a681339aebcfd7,5,6221,0.08037293039704227,17,12b3cbaada7f85a5b188488acf0c0623,26,4
5b5bd5208b5b14f999faf5052aaaaf84,5,6221,0.08037293039704227,18,12b3cbaada7f85a5b188488acf0c0623,223,6
077e80d1749150eaf451bedd11f72b1a,6,2100,0.2857142857142857,315,a3c42105d7680391500d192f6a87c418,133,1
646d43ccb608675073ed75c40b23fa2f,6,6221,0.09644751647645074,20,12b3cbaada7f85a5b188488acf0c0623,1318,3
048a97818c7f5918bb92b98922e97916,6,6221,0.09644751647645074,12,12b3cbaada7f85a5b188488acf0c0623,99,3
bc70663bcd804c33683e1e3eaf708881,8,6221,0.12859668863526766,36,12b3cbaada7f85a5b188488acf0c0623,686,6
b6330966f6746bee4869e87eab41c198,9,6221,0.14467127471467608,47,12b3cbaada7f85a5b188488acf0c0623,55,2
c88c1402e0556506de668354ff365f58,11,7914,0.1389941875157948,408,c7af761e0f90995b5a9a0827276f0512,89,1
b7630dee31ceaa5098b55a4c4d126cb9,11,7914,0.1389941875157948,497,c7af761e0f90995b5a9a0827276f0512,289,1
87e18f98449d17f86b916716c3d4634c,11,6652,0.16536380036079373,77,14baec16e62afaf8aac187f828122d21,890,4
b19389e45e41f0f6f9fcfe00b8e2fb1e,12,7914,0.1516300227445034,32,c7af761e0f90995b5a9a0827276f0512,4,2
fde4a2babeacce2bd786c58b450a1664,12,2782,0.4313443565780015,237,a8d101c2085a3ac58d9cb1029c7d6bc2,876,5
421eda4b89a19d5895363c388a02d2d9,13,6652,0.19542994588093807,49,14baec16e62afaf8aac187f828122d21,953,4
3028d43a7e9405b53a0b25cdc02a7c5b,13,6652,0.19542994588093807,146,14baec16e62afaf8aac187f828122d21,931,5
0ca46645b3a3ae06bf0377e26eccffe8,13,6652,0.19542994588093807,58,14baec16e62afaf8aac187f828122d21,520,4
b5a7670dcd72b3bde6eca89ce4ec1e47,13,2782,0.4672897196261682,58,a8d101c2085a3ac58d9cb1029c7d6bc2,929,5
fee698f738b1c28e2731c98b46435cf6,13,2782,0.4672897196261682,214,a8d101c2085a3ac58d9cb1029c7d6bc2,948,2
eb3aad38db0c25328d79d18488b4e5b6,13,7914,0.16426585797321205,5,c7af761e0f90995b5a9a0827276f0512,49,3
90e51040930c5218f65f0241454a07c3,14,2782,0.503235082674335,152,a8d101c2085a3ac58d9cb1029c7d6bc2,1210,3
b7c1eed078f1cbaea13bd18afc8f06d5,15,6652,0.2254960914010824,201,14baec16e62afaf8aac187f828122d21,899,3
3f0a38ee5bc82385e2bcc8d863a94bc5,15,6221,0.2411187911911269,47,12b3cbaada7f85a5b188488acf0c0623,78,3
f1e5f36db91f42a581e5530f545dc739,16,6652,0.2405291641611545,134,14baec16e62afaf8aac187f828122d21,1054,5
ff9364be5d4ec20fe38108ebc96d9671,17,2782,0.6110711718188354,190,a8d101c2085a3ac58d9cb1029c7d6bc2,60,4
c3f9a3cfaf113a8e77e666aa3598d39f,17,2782,0.6110711718188354,133,a8d101c2085a3ac58d9cb1029c7d6bc2,627,6
4f8e488a605c79fb1759edb353c27c8a,17,7914,0.2148091988880465,500,c7af761e0f90995b5a9a0827276f0512,79,1
3dc2d5ee3ee4587a8a274cfbc7e3c20f,17,6652,0.2555622369212267,121,14baec16e62afaf8aac187f828122d21,1145,4
91072ce8d5415c31e243b8d6061232e0,18,7914,0.2274450341167551,103,c7af761e0f90995b5a9a0827276f0512,123,2
e8aa10ba877f946387545af371d5d28d,18,7914,0.2274450341167551,306,c7af761e0f90995b5a9a0827276f0512,201,5
8fa0335c093c54eb2595dffd97c0f9eb,18,3912,0.4601226993865031,23,df319c996508d16f19cc687aa7e19a83,36,3
fe2190acce7e7067021687b395df8d73,20,3912,0.5112474437627812,310,df319c996508d16f19cc687aa7e19a83,31,1
75225b24867d292f5063aa42166cf75d,20,4961,0.4031445273130417,73,76bff4a214153e162c98d7ff7d7f9e06,50,1
260dbe5a11f2b0736ada34eff2f830b6,20,1628,1.2285012285012284,107,60c751318f4cf2adf7c870a1cf2ce0e8,90,8
172724f721d6b0eefe5f0be2ffeebbe2,21,6652,0.3156945279615153,63,14baec16e62afaf8aac187f828122d21,1196,6
3f50ea63658117548c577f042c5c1774,21,3859,0.5441824306815237,116,a52c51402a6f2f708767e38a351e2d00,325,2
c6a51351b972b5499dced3b1dec07927,21,3859,0.5441824306815237,493,a52c51402a6f2f708767e38a351e2d00,750,1
949507815d06969877dd4520c2e37cf8,22,7914,0.2779883750315896,20,c7af761e0f90995b5a9a0827276f0512,24,5
