index,父微博用户ID,count,followers,TimeDIST,NetDIST,feature
91,d02fe5ae9d34938a89bf00eb4b457152,45,1197,27,1,0
163,2ac16bf2dbae9635afac69cd1f217340,220,3636,121,1,0
149,ddacffd27d6eecd0ac02961a72c89af4,148,2382,89,2,0
177,6c87a723ba495b516ccc5131f7737f98,477,11750,0,0,0
172,217a7740a38412db4525c1cfb44ff5ca,354,2555,163,2,0
16,fee698f738b1c28e2731c98b46435cf6,13,214,948,2,0
24,c3f9a3cfaf113a8e77e666aa3598d39f,17,133,627,6,0
82,800aebd10aa859549712af7faa264bed,36,86,19,2,0
141,bdf80da5bad06006922252bf8df23f2b,128,1068,7,1,0
43,e7c5d11e0479dc188256163a35368d48,25,400,473,10,0
63,fc90977dc07f74598122c786c439bbff,29,695,229,2,0
22,3dc2d5ee3ee4587a8a274cfbc7e3c20f,17,121,1145,4,0
52,3ac62331c13539bd2445e4797c704e3d,27,294,171,2,0
54,421341f58cb2a4134854626f236a2179,27,243,10,2,0
158,6177f90a758e2e2daa117d9258e7bea1,179,1477,199,1,0
6,b6330966f6746bee4869e87eab41c198,9,47,55,2,0
79,291fe5cd9999a9c68cd4ea780d1ff5af,34,189,1089,1,0
147,3fc3e4ebf89566b4063e51b0c826a744,139,988,845,1,0
175,c360f812947e14510ff253242e51afae,379,4779,47,7,0
107,4598896a47797f8bcb161aa4b3c9065f,68,184,232,7,0
179,f911a0b97f2bbfd1244b92b1123c0de3,569,600,43,2,0
121,f6c259579d9876137b7b68cc9aaf9300,81,845,173,2,0
85,716c769bb6d6aaf78ebb95a7ebab582d,40,725,155,1,0
17,eb3aad38db0c25328d79d18488b4e5b6,13,5,49,3,0
138,18a4708426d8bac6532d5f9c04c14eed,121,392,34,2,0
140,0f5dd75fa2ed482523b629b5f83e4ac1,126,706,35,1,0
112,6f8274355a16ba11c4871e90e601125b,74,680,174,3,0
119,d1d370e2928a4d49a91edf4ced6db431,81,1907,29,3,0
21,f1e5f36db91f42a581e5530f545dc739,16,134,1054,5,0
95,a1518fbc4d82b37dcf7d2a603d567ad5,50,905,142,1,0
116,6f592f017deedd81889f8bff61c75db5,79,386,198,2,0
173,15b621ce165a15a31d58731867c445ac,360,1985,226,2,0
153,da403415766cebfe1d141e80a13ee820,161,1993,22,2,0
41,d31b5740c902262940cdd70a0ec67945,24,4,39,1,0
8,b7630dee31ceaa5098b55a4c4d126cb9,11,497,289,1,0
159,7918251d2acf470a8dcdf36f55b94329,191,1774,96,2,0
92,191847c2b9342d87ff5693fd22d7b6be,46,236,373,2,0
154,2a72d278ae183f70cee992bd6102dd61,161,3367,22,3,0
70,7447c09ce4cadb45552493a902b089ed,31,141,100,2,0
3,646d43ccb608675073ed75c40b23fa2f,6,20,1318,3,0
109,ea151944121ef4b9e6ebfb3801c9ef8f,69,1163,1437,3,0
165,0718603c176da086c69dc07966d46180,226,2531,14,4,0
161,e61671ae6229fd2e329abffb1fab99a3,207,1999,130,2,0
123,13dfba43de47dbcd2a07e01950c1e00d,83,3652,294,2,0
168,bc6f6d19d2a9eca5a8720caca4e07908,252,877,145,2,0
73,731e0e5494614166df82a85ca9e1234a,32,245,862,3,0
72,384e6364e5682f016694d2bb2d0a18af,32,774,639,1,0
88,cca0c77c6e8d5b3f373b5ad974f3e4f9,42,345,45,3,0
133,ef4d7d39f7b3997e79f1179d6fb4074f,114,898,138,4,0
14,0ca46645b3a3ae06bf0377e26eccffe8,13,58,520,4,0
120,d462d66b8042ad8af59c9b1ab7cffa1a,81,1079,8,2,0
12,421eda4b89a19d5895363c388a02d2d9,13,49,953,4,0
129,06e1bebf7d92e41093c20917656f1eba,97,1742,146,3,0
128,8d114e5a8f8bb3c4250d10ca4d40772d,95,2148,158,2,0
38,be4f164289ab97d3390248a3746a53a8,23,31,1393,2,0
174,b672fadcb306797bbba44cae1ecf5765,364,2253,120,2,0
13,3028d43a7e9405b53a0b25cdc02a7c5b,13,146,931,5,0
130,eb2aad46255a5412a9754847c646d91e,98,430,144,2,0
60,1d90b148ffc0cd15321f35b0563ce28c,29,504,196,2,0
93,a7dd07d3655174cb41e7c95d503a1a5c,46,595,25,3,0
47,ecd350325dde0a7dd19804fb422d01d2,26,525,71,5,0
80,95f27391d531f5c81412213294304065,35,1364,228,2,0
4,048a97818c7f5918bb92b98922e97916,6,12,99,3,0
90,61344f8424cd53f6d8c09e38931f696d,44,560,630,2,0
94,de573b15076940f1a2e51c3c48e6227a,48,690,1246,1,0
62,e885a188ab7609c93d98142758e58c47,29,83,83,4,0
84,28f7dce3fbe473c4e8bfcf51dda3cc3a,38,89,52,8,0
32,172724f721d6b0eefe5f0be2ffeebbe2,21,63,1196,6,0
35,4712d2eb91bb6609b3f4d24bb6861b93,22,192,277,6,0
68,e358a266d565a54c065fe42091960951,31,471,172,3,0
59,64f8f1aca6b5e1c9ea5d3f102295ac0e,29,55,53,1,0
164,13dfba43de47dbcd2a07e01950c1e00d,220,3652,78,2,0
96,20f71cd638c67f2764b4108fb3b8f7c8,51,972,340,2,0
19,b7c1eed078f1cbaea13bd18afc8f06d5,15,201,899,3,0
37,d4f6820145d36bb575d092967103e654,23,185,259,5,0
86,291fe5cd9999a9c68cd4ea780d1ff5af,42,189,30,1,0
99,6d95e97915e780cbfb466933382150f6,58,537,22,4,0
102,5f3c189c72bf5a9feaadfb3421054659,60,15,266,4,0
160,ddbc3da8202cb48e0fe05de6a5b32090,201,1524,15,2,0
118,900ec2f4d62f774b7c62295d44a96cdf,80,662,143,3,0
139,e44f5031859d309f3353d2874ffa7192,125,2193,23,1,0
108,19bdef4efe43dbbcb3e60500748411eb,68,1298,91,2,0
15,b5a7670dcd72b3bde6eca89ce4ec1e47,13,58,929,5,0
81,ff9364be5d4ec20fe38108ebc96d9671,35,190,378,4,0
7,c88c1402e0556506de668354ff365f58,11,408,89,1,0
10,fde4a2babeacce2bd786c58b450a1664,12,237,876,5,0
1,5b5bd5208b5b14f999faf5052aaaaf84,5,18,223,6,0
11,b19389e45e41f0f6f9fcfe00b8e2fb1e,12,32,4,2,0
65,0ecfb78997a9f4b7e89082e99df419a9,30,397,1082,1,0
106,d7d125f9605eb875d04cb2940202b7c7,68,407,7,1,0
30,75225b24867d292f5063aa42166cf75d,20,73,50,1,0
198,59201a4cb94b46ae9ef8a16b9cdec55e,3641,553,0,0,1
183,df319c996508d16f19cc687aa7e19a83,1293,403,0,0,1
203,12d856f800dc42c4c5229b99cbeb4053,6226,1289,0,0,1
196,14baec16e62afaf8aac187f828122d21,3243,3027,0,0,1
194,318fc95107fd4ff003a3167940091152,3095,29574,0,0,1
197,407ca48f6b41117e98fb675a8af44261,3259,2573,0,0,1
186,8920a3b5f03b8f613873eea3b61a1c93,1686,873,0,0,1
185,cf2a4b8fa6ffc9ca1f219fd19933f2cf,1476,21,647,1,1
191,bd996818a67dad91fc0fb67fe78a6bc3,2392,185,0,0,1
189,bb315eee2c36d6bfe63036559625c98b,2015,503,0,0,1
204,03e1002b3e6a2a4d9d1f110232da0088,6494,1370,0,0,1
188,4c9e111bfaa03881a458a460b0722709,1901,29,0,0,1
