父微博用户ID,count,followers,TimeDIST,NetDIST,feature
e1316d1dc863d17e90a681339aebcfd7,5,17,26,4,0
5b5bd5208b5b14f999faf5052aaaaf84,5,18,223,6,0
077e80d1749150eaf451bedd11f72b1a,6,315,133,1,0
646d43ccb608675073ed75c40b23fa2f,6,20,1318,3,0
048a97818c7f5918bb92b98922e97916,6,12,99,3,0
bc70663bcd804c33683e1e3eaf708881,8,36,686,6,0
b6330966f6746bee4869e87eab41c198,9,47,55,2,0
c88c1402e0556506de668354ff365f58,11,408,89,1,0
b7630dee31ceaa5098b55a4c4d126cb9,11,497,289,1,0
87e18f98449d17f86b916716c3d4634c,11,77,890,4,0
fde4a2babeacce2bd786c58b450a1664,12,237,876,5,0
b19389e45e41f0f6f9fcfe00b8e2fb1e,12,32,4,2,0
421eda4b89a19d5895363c388a02d2d9,13,49,953,4,0
3028d43a7e9405b53a0b25cdc02a7c5b,13,146,931,5,0
0ca46645b3a3ae06bf0377e26eccffe8,13,58,520,4,0
b5a7670dcd72b3bde6eca89ce4ec1e47,13,58,929,5,0
fee698f738b1c28e2731c98b46435cf6,13,214,948,2,0
eb3aad38db0c25328d79d18488b4e5b6,13,5,49,3,0
90e51040930c5218f65f0241454a07c3,14,152,1210,3,0
b7c1eed078f1cbaea13bd18afc8f06d5,15,201,899,3,0
3f0a38ee5bc82385e2bcc8d863a94bc5,15,47,78,3,0
f1e5f36db91f42a581e5530f545dc739,16,134,1054,5,0
3dc2d5ee3ee4587a8a274cfbc7e3c20f,17,121,1145,4,0
4f8e488a605c79fb1759edb353c27c8a,17,500,79,1,0
c3f9a3cfaf113a8e77e666aa3598d39f,17,133,627,6,0
ff9364be5d4ec20fe38108ebc96d9671,17,190,60,4,0
91072ce8d5415c31e243b8d6061232e0,18,103,123,2,0
e8aa10ba877f946387545af371d5d28d,18,306,201,5,0
8fa0335c093c54eb2595dffd97c0f9eb,18,23,36,3,0
fe2190acce7e7067021687b395df8d73,20,310,31,1,0
75225b24867d292f5063aa42166cf75d,20,73,50,1,0
260dbe5a11f2b0736ada34eff2f830b6,20,107,90,8,0
172724f721d6b0eefe5f0be2ffeebbe2,21,63,1196,6,0
