index,父微博用户ID,count,total,percent,followers,root
1.0,c7af761e0f90995b5a9a0827276f0512,2960,7914,37.402072276977506,2079,c7af761e0f90995b5a9a0827276f0512
2.0,c360f812947e14510ff253242e51afae,379,7914,4.788981551680567,4779,c7af761e0f90995b5a9a0827276f0512
3.0,68db5c4507b37034a90d34563e20225f,242,7914,3.057872125347485,2953,c7af761e0f90995b5a9a0827276f0512
4.0,2ac16bf2dbae9635afac69cd1f217340,220,7914,2.7798837503158964,3636,c7af761e0f90995b5a9a0827276f0512
5.0,e44f5031859d309f3353d2874ffa7192,171,7914,2.1607278241091734,2193,c7af761e0f90995b5a9a0827276f0512
6.0,a554ae33e37578d387b1411277333e05,156,7914,1.9711902956785443,1744,c7af761e0f90995b5a9a0827276f0512
7.0,ddacffd27d6eecd0ac02961a72c89af4,148,7914,1.870103613848876,2382,c7af761e0f90995b5a9a0827276f0512
8.0,01b874689f63fbbf1a437efa9a1a31cb,142,7914,1.7942886024766238,3873,c7af761e0f90995b5a9a0827276f0512
9.0,0718603c176da086c69dc07966d46180,138,7914,1.7437452615617892,2531,c7af761e0f90995b5a9a0827276f0512
10.0,ef0c4a6456df38caa08d4a1df614faf6,131,7914,1.6552944149608289,3355,c7af761e0f90995b5a9a0827276f0512
11.0,18a4708426d8bac6532d5f9c04c14eed,121,7914,1.5289360626737427,392,c7af761e0f90995b5a9a0827276f0512
12.0,ef4d7d39f7b3997e79f1179d6fb4074f,114,7914,1.4404852160727823,898,c7af761e0f90995b5a9a0827276f0512
13.0,13dfba43de47dbcd2a07e01950c1e00d,83,7914,1.0487743239828151,3652,c7af761e0f90995b5a9a0827276f0512
14.0,d1d370e2928a4d49a91edf4ced6db431,81,7914,1.023502653525398,1907,c7af761e0f90995b5a9a0827276f0512
15.0,19bdef4efe43dbbcb3e60500748411eb,68,7914,0.8592367955521859,1298,c7af761e0f90995b5a9a0827276f0512
16.0,030e7716671a76d35daef80682dc8766,61,7914,0.7707859489512257,1155,c7af761e0f90995b5a9a0827276f0512
17.0,5f3c189c72bf5a9feaadfb3421054659,60,7914,0.7581501137225171,15,c7af761e0f90995b5a9a0827276f0512
18.0,a1518fbc4d82b37dcf7d2a603d567ad5,50,7914,0.6317917614354309,905,c7af761e0f90995b5a9a0827276f0512
19.0,d9f5bbb77995664d6afee258e73e5da8,43,7914,0.5433409148344706,1298,c7af761e0f90995b5a9a0827276f0512
20.0,cca0c77c6e8d5b3f373b5ad974f3e4f9,42,7914,0.530705079605762,345,c7af761e0f90995b5a9a0827276f0512
21.0,28f7dce3fbe473c4e8bfcf51dda3cc3a,38,7914,0.4801617386909275,89,c7af761e0f90995b5a9a0827276f0512
22.0,95f27391d531f5c81412213294304065,35,7914,0.4422542330048016,1364,c7af761e0f90995b5a9a0827276f0512
23.0,3946b2e1829cee6dc19464d3b2064df4,33,7914,0.4169825625473844,983,c7af761e0f90995b5a9a0827276f0512
24.0,d7d125f9605eb875d04cb2940202b7c7,33,7914,0.4169825625473844,407,c7af761e0f90995b5a9a0827276f0512
25.0,fc90977dc07f74598122c786c439bbff,29,7914,0.3664392216325499,695,c7af761e0f90995b5a9a0827276f0512
26.0,e885a188ab7609c93d98142758e58c47,29,7914,0.3664392216325499,83,c7af761e0f90995b5a9a0827276f0512
27.0,91c0757c84405b71a49354f2193b53e0,25,7914,0.31589588071771546,92,c7af761e0f90995b5a9a0827276f0512
28.0,e7c5d11e0479dc188256163a35368d48,25,7914,0.31589588071771546,400,c7af761e0f90995b5a9a0827276f0512
29.0,694a10534bd055365d87958e132de9dc,25,7914,0.31589588071771546,547,c7af761e0f90995b5a9a0827276f0512
30.0,949507815d06969877dd4520c2e37cf8,22,7914,0.2779883750315896,20,c7af761e0f90995b5a9a0827276f0512
31.0,e8aa10ba877f946387545af371d5d28d,18,7914,0.2274450341167551,306,c7af761e0f90995b5a9a0827276f0512
32.0,91072ce8d5415c31e243b8d6061232e0,18,7914,0.2274450341167551,103,c7af761e0f90995b5a9a0827276f0512
33.0,4f8e488a605c79fb1759edb353c27c8a,17,7914,0.2148091988880465,500,c7af761e0f90995b5a9a0827276f0512
34.0,eb3aad38db0c25328d79d18488b4e5b6,13,7914,0.16426585797321205,5,c7af761e0f90995b5a9a0827276f0512
35.0,b19389e45e41f0f6f9fcfe00b8e2fb1e,12,7914,0.1516300227445034,32,c7af761e0f90995b5a9a0827276f0512
36.0,c88c1402e0556506de668354ff365f58,11,7914,0.1389941875157948,408,c7af761e0f90995b5a9a0827276f0512
37.0,b7630dee31ceaa5098b55a4c4d126cb9,11,7914,0.1389941875157948,497,c7af761e0f90995b5a9a0827276f0512
38.0,3bd26ddf9b761f02972719399432912c,10,7914,0.12635835228708614,89,c7af761e0f90995b5a9a0827276f0512
39.0,890d67067dbd40e7f948f55489fb085e,10,7914,0.12635835228708614,51,c7af761e0f90995b5a9a0827276f0512
40.0,e10ae4d5fc6870170bff39f468b84bf9,10,7914,0.12635835228708614,14,c7af761e0f90995b5a9a0827276f0512
41.0,98ea69ccf7b11072e5186bbf6ba8434d,10,7914,0.12635835228708614,1132,c7af761e0f90995b5a9a0827276f0512
42.0,65e3119b9b5ad9a3750b0583d313710e,10,7914,0.12635835228708614,394,c7af761e0f90995b5a9a0827276f0512
43.0,667652e43523fb2ac015d149ad18cca1,10,7914,0.12635835228708614,819,c7af761e0f90995b5a9a0827276f0512
44.0,28d62427df4984479a7dbcb0bb3ef7ee,9,7914,0.11372251705837755,112,c7af761e0f90995b5a9a0827276f0512
45.0,b694970958f5383385c053388c70a4a8,9,7914,0.11372251705837755,108,c7af761e0f90995b5a9a0827276f0512
46.0,9cef913e526c9e7da08031bee2d83850,9,7914,0.11372251705837755,84,c7af761e0f90995b5a9a0827276f0512
47.0,0b64680d9e8573213937908bb3e5884c,9,7914,0.11372251705837755,457,c7af761e0f90995b5a9a0827276f0512
48.0,2c3d7e695678714d985118cd20491917,7,7914,0.08845084660096032,14,c7af761e0f90995b5a9a0827276f0512
49.0,de9c3c67d548e9b36f470ff72daa768a,7,7914,0.08845084660096032,20,c7af761e0f90995b5a9a0827276f0512
50.0,d790b597798a8298d3b36466244143c9,7,7914,0.08845084660096032,27,c7af761e0f90995b5a9a0827276f0512
51.0,396bbfc1f923c7450ef213fd16b856e5,7,7914,0.08845084660096032,11,c7af761e0f90995b5a9a0827276f0512
52.0,f641327fd1fa4e717f52b43d957d1e8c,7,7914,0.08845084660096032,73,c7af761e0f90995b5a9a0827276f0512
53.0,9d8a5d53f32477d12e2203741bbdbf29,7,7914,0.08845084660096032,44,c7af761e0f90995b5a9a0827276f0512
54.0,6aac8987c9e69af2b60bd5fe3f124321,7,7914,0.08845084660096032,44,c7af761e0f90995b5a9a0827276f0512
55.0,32e4776effdc44576b123155d99fef5e,6,7914,0.0758150113722517,29,c7af761e0f90995b5a9a0827276f0512
56.0,9cd3b68ce1af0ab17b1e9c04dbd66499,6,7914,0.0758150113722517,186,c7af761e0f90995b5a9a0827276f0512
57.0,218f6df0a501fb9827d1609c07e9b51c,6,7914,0.0758150113722517,81,c7af761e0f90995b5a9a0827276f0512
1.0,768c8145171a276365164af3bd2b94c3,1410,1709,82.50438853130484,5010,768c8145171a276365164af3bd2b94c3
2.0,f6c259579d9876137b7b68cc9aaf9300,81,1709,4.7396138092451725,845,768c8145171a276365164af3bd2b94c3
3.0,241c189090dfcfcca8569b3c450166c7,28,1709,1.6383850204798127,494,768c8145171a276365164af3bd2b94c3
4.0,bbf79378a465ec9f41d55cedfdc51959,17,1709,0.994733762434172,508,768c8145171a276365164af3bd2b94c3
5.0,6ed1dded79d710462199c5c4cf95d7d1,16,1709,0.9362200117027502,142,768c8145171a276365164af3bd2b94c3
